server_id,server_name,resource_type,power_state,os_type,os_name,os_version,primary_hostname,primary_ip_address,netmask,total_num_network_cards,total_num_disks,cpu_count,total_memory_gb,server_uuid,smbios_uuid,cluster_name,hypervisor_object_id,hypervisor_type,hypervisor_version,hypervisor_hostname,hypervisor_host_id,hypervisor_id,disk_read_iops_avg,disk_read_iops_peak,disk_write_iops_avg,disk_write_iops_peak,disk_total_iops_avg,disk_total_iops_peak,disk_read_throughput_avg_mbps,disk_read_throughput_peak_mbps,disk_write_throughput_avg_mbps,disk_write_throughput_peak_mbps,disk_total_throughput_avg_mbps,disk_total_throughput_peak_mbps
i-0422e26203cb709b2,fbctf-demo-web,virtual_machine,Running,Linux,Ubuntu,16.04.7 LTS (xenial),ip-10-20-10-205.ec2.internal,10.20.10.205,255.255.255.0,1,1,2,1.92,ec2330ea-326b-d7be-6a4b-4f5b52b9fbe4,ec2330ea-326b-d7be-6a4b-4f5b52b9fbe4,fbctf-demo-web (asg),i-0422e26203cb709b2,AWS EC2 (Nitro),1.0,us-east-1a,,,0.85,29.60,2.39,54.10,3.24,83.70,0.009,1.08,0.069,4.61,0.078,5.69
i-0d6b944117ba6302b,fbctf-demo-app,virtual_machine,Running,Linux,Ubuntu,16.04.7 LTS (xenial),ip-10-20-10-138.ec2.internal,10.20.10.138,255.255.255.0,1,1,2,3.80,ec2393dc-62ca-c4ce-32d8-5ea178a38eb8,ec2393dc-62ca-c4ce-32d8-5ea178a38eb8,fbctf-demo-app (asg),i-0d6b944117ba6302b,AWS EC2 (Nitro),1.0,us-east-1a,,,1.42,25.40,3.32,39.90,4.74,65.30,0.010,1.01,0.088,6.34,0.098,7.35
