server_id,data_source,disk_volume_id,disk_mount_point,file_system,disk_total_gb,disk_used_gb,disk_free_gb,disk_read_iops_avg,disk_read_iops_peak,disk_write_iops_avg,disk_write_iops_peak,disk_total_iops_avg,disk_total_iops_peak,disk_read_throughput_avg_mbps,disk_read_throughput_peak_mbps,disk_write_throughput_avg_mbps,disk_write_throughput_peak_mbps,disk_total_throughput_avg_mbps,disk_total_throughput_peak_mbps
i-0422e26203cb709b2,OS+CloudWatch,vol-0af1285f5c5f7a1f2,/,ext4,30.0,2.67,28.47,0.85,29.60,2.39,54.10,3.24,83.70,0.009,1.08,0.069,4.61,0.078,5.69
i-0d6b944117ba6302b,OS+CloudWatch,vol-05615b764ad5bbe47,/,ext4,30.0,2.64,28.50,1.42,25.40,3.32,39.90,4.74,65.30,0.010,1.01,0.088,6.34,0.098,7.35
