server_id,data_source,cpu_utilization_avg_pct,cpu_utilization_peak_pct,cpu_count,memory_total_gb,memory_utilization_avg_pct,memory_utilization_peak_pct,network_in_avg_mbps,network_in_peak_mbps,network_out_avg_mbps,network_out_peak_mbps,network_total_avg_mbps,network_total_peak_mbps
i-0422e26203cb709b2,CloudWatch,1.22,48.44,2,1.92,17.50,17.50,0.065,4.23,0.080,0.73,0.145,4.96
i-0d6b944117ba6302b,CloudWatch,1.31,49.09,2,3.80,16.10,16.10,0.075,4.17,0.002,0.03,0.077,4.20
