SQL Component ID,Engine Type,Is Engine Component,SQL Service Name,SQL Service Type,Server ID,Server Connection Port,Server Connection Address,Display Name,Description,Process ID,Network Interfaces,Instance ID,Instance Name,Service Pack Level,Status,Version,Edition,Build Number,Is Clustered,Virtual Server Name,SSRS SharePoint Integrated,SSRS Database Encryption,SSRS Database Name,SSRS Database Server Name,SSRS Power BI Enabled,SSRS Report Manager Enabled,SSRS Web Service Enabled,SSRS Initialized,SSRS Windows Service Enabled,PS Computer Name,WMI Namespace,Server Site,Exit Code,Binary Path,Error Control,Start Mode,Service Account Name,Startup Parameters,Is WoW64,Registry Root,Install Path,Language Code,Data Path,Edition ID,SQL States,Is SQM Reporting On,Container Name,Is SQL Browser,SSRS Config Path,IOPS,Redo Log Size,Utilization,Throughput,CPU Cores,Stored Procedures Lines of Code,Max Transactions per Second
import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35:MSSQLSERVER,sql_server,Y,MSSQLSERVER,Database Engine,import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35,5986,10.70.1.51,SQL Server (MSSQLSERVER),"Provides storage, processing and controlled access of data, and rapid transaction processing.",800,"['0.0.0.0:1433', ':::1433', '127.0.0.1:49839', '::1:49839']",MSSQL16.MSSQLSERVER,MSSQLSERVER,0,Running,2022.160.4265.3,Express Edition (64-bit),16.0.1000.6,N,,,,,,,,,,,EC2AMAZ-K9LQ97Q,ComputerManagement16,,0,C:/Program Files/Microsoft SQL Server/MSSQL16.MSSQLSERVER/MSSQL/Binn/sqlservr.exe -sMSSQLSERVER,Normal,Automatic,NT Service/MSSQLSERVER,-dC:/Program Files/Microsoft SQL Server/MSSQL16.MSSQLSERVER/MSSQL/DATA/master.mdf;-eC:/Program Files/Microsoft SQL Server/MSSQL16.MSSQLSERVER/MSSQL/Log/ERRORLOG;-lC:/Program Files/Microsoft SQL Server/MSSQL16.MSSQLSERVER/MSSQL/DATA/mastlog.ldf,N,Software/Microsoft/Microsoft SQL Server/MSSQL16.MSSQLSERVER,C:/Program Files/Microsoft SQL Server/MSSQL16.MSSQLSERVER/MSSQL,,C:/Program Files/Microsoft SQL Server/MSSQL16.MSSQLSERVER/MSSQL,2702571241,4194821,,,,,,,,,,,
import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35:SQLServerReportingServices,sql_server,N,SQLServerReportingServices,Reporting Services,import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35,5986,10.70.1.51,,,2776,,SSRS,SSRS,,Running,2018.0160.1112.48 ((BI_Server_Main).221114-0402),SQL Server Evaluation,16.0.1112.48,,,,,,,,Y,Y,N,Y,EC2AMAZ-K9LQ97Q,root/Microsoft/SqlServer/ReportServer/RS_SSRS/V16,,,,,,,,,,,,,610778273,,,,,,,,,,,,
